id,name,out_date,due_date,semester
1,setup (Linux),1/17/17 0:00,1/24/17 0:00,S17
2,written1,1/17/17 21:00,1/23/17 21:00,S17
3,scavhunt,1/19/17 21:00,1/26/17 21:00,S17
4,setup (Mac),1/17/17 0:00,1/24/17 0:00,S17
5,setup (Windows),1/17/17 0:00,1/24/17 0:00,S17
6,written2,1/23/17 21:00,1/30/17 21:00,S17
7,written3,1/30/17 21:00,2/6/17 21:00,S17
8,written4,2/6/17 21:00,2/13/17 21:00,S17
9,written5,2/13/17 21:00,2/20/17 21:00,S17
10,written6,2/20/17 21:00,2/27/17 21:00,S17
11,written7,2/27/17 21:00,3/6/17 21:00,S17
12,written8,3/6/17 21:00,3/20/17 21:00,S17
13,written9,3/20/17 21:00,3/27/17 21:00,S17
14,written10,3/27/17 21:00,4/3/17 21:00,S17
15,written11,4/6/17 21:00,4/13/17 21:00,S17
16,written12,4/13/17 21:00,4/24/17 21:00,S17
17,written13,4/24/17 21:00,5/1/17 21:00,S17
18,pixels,1/26/17 21:00,2/3/17 21:00,S17
19,images,2/2/17 21:00,2/10/17 21:00,S17
20,doslingos,2/9/17 21:00,2/17/17 21:00,S17
21,clac-exp,2/23/17 21:00,3/3/17 21:00,S17
22,tbuf,3/2/17 21:00,3/10/17 21:00,S17
23,bloom,3/9/17 21:00,3/24/17 21:00,S17
24,ropes,3/23/17 21:00,3/31/17 21:00,S17
25,queues,4/3/17 21:00,4/11/17 21:00,S17
26,lightsout,4/10/17 21:00,4/18/17 21:00,S17
27,c0vm,4/17/17 21:00,5/5/17 21:00,S17
28,images style,2/13/17 0:00,2/18/17 23:59,S17
29,midterm1,2/14/17 0:00,2/20/17 23:59,S17
30,exp style,3/6/17 0:00,3/11/17 23:59,S17
31,setup (Windows),7/1/17 0:00,7/6/17 23:00,N17
32,setup (Mac),7/1/17 0:00,7/6/17 23:00,N17
33,setup (Linux),7/1/17 0:00,7/6/17 23:00,N17
34,scavhunt,7/3/17 0:00,7/6/17 23:00,N17
35,pixels,7/5/17 23:00,7/8/17 23:00,N17
36,images,7/7/17 23:00,7/12/17 23:00,N17
37,speller,7/11/17 23:00,7/15/17 23:00,N17
38,clac,7/14/17 23:00,7/19/17 23:00,N17
39,tbuf,7/18/17 23:00,7/22/17 23:00,N17
40,bloom,7/21/17 23:00,7/26/17 23:00,N17
41,ropes,7/25/17 23:00,7/29/17 23:00,N17
42,queues,7/28/17 23:00,8/2/17 23:00,N17
43,lightsout,8/1/17 23:00,8/5/17 23:00,N17
44,c0vm,8/4/17 23:00,8/11/17 23:00,N17
45,written1,7/3/17 0:00,7/6/17 15:00,N17
46,written2,7/6/17 15:00,7/9/17 15:00,N17
47,written3,7/9/17 15:00,7/12/17 15:00,N17
48,written4,7/12/17 15:00,7/14/17 15:00,N17
49,written5,7/14/17 15:00,7/19/17 15:00,N17
50,written6,7/19/17 15:00,7/21/17 15:00,N17
51,written7,7/21/17 15:00,7/26/17 15:00,N17
52,written8,7/26/17 15:00,7/28/17 15:00,N17
53,written9,7/28/17 15:00,8/2/17 15:00,N17
54,written10,8/2/17 15:00,8/4/17 15:00,N17
55,written11,8/4/17 15:00,8/8/17 15:00,N17
56,written12,8/8/17 15:00,8/10/17 15:00,N17
57,exam1,7/12/17 0:00,7/17/17 0:00,N17
58,exam2,7/26/17 0:00,7/31/17 0:00,N17
59,exam3,8/5/17 0:00,8/11/17 0:00,N17
60,setup (Windows),8/28/17 0:00,9/7/17 21:00,F17
61,setup (Mac),8/28/17 0:00,9/7/17 21:00,F17
62,setup (Linux),8/28/17 0:00,9/7/17 21:00,F17
63,scavhunt,8/31/17 0:00,9/8/17 21:00,F17
64,pixels,9/7/17 21:00,9/15/17 21:00,F17
65,images,9/14/17 21:00,9/22/17 21:00,F17
66,speller,9/21/17 21:00,9/29/17 21:00,F17
67,clac,10/5/17 21:00,10/13/17 21:00,F17
68,editor-check,10/12/17 21:00,10/20/17 21:00,F17
69,editor,10/19/17 21:00,10/27/17 21:00,F17
70,ropes,10/26/17 21:00,11/3/17 21:00,F17
71,strbuf,11/6/17 21:00,11/15/17 21:00,F17
72,huffman,11/14/17 21:00,11/22/17 21:00,F17
73,c0vm,11/21/17 21:00,12/8/17 21:00,F17
74,written1,8/29/17 0:00,9/4/17 21:00,F17
75,written2,9/4/17 21:00,9/11/17 21:00,F17
76,written3,9/11/17 21:00,9/18/17 21:00,F17
77,written4,9/18/17 21:00,9/25/17 21:00,F17
78,written5,9/25/17 21:00,10/2/17 21:00,F17
79,written6,10/2/17 21:00,10/9/17 21:00,F17
80,written7,10/9/17 21:00,10/16/17 21:00,F17
81,written8,10/16/17 21:00,10/23/17 21:00,F17
82,written9,10/23/17 21:00,10/30/17 21:00,F17
83,written10,10/30/17 21:00,11/6/17 21:00,F17
84,written11,11/9/17 21:00,11/16/17 21:00,F17
85,written12,11/16/17 21:00,11/27/17 21:00,F17
86,written13,11/27/17 21:00,12/4/17 21:00,F17
87,midterm1,9/30/17 0:00,10/5/17 0:00,F17
88,midterm2,11/4/17 0:00,11/9/17 0:00,F17
89,final,12/8/17 0:00,12/17/17 0:00,F17
90,setup (Mac),1/16/18 0:00,1/24/18 0:00,S18
91,setup (Windows),1/16/18 0:00,1/24/18 0:00,S18
92,setup (Linux),1/16/18 0:00,1/24/18 0:00,S18
93,written1,1/16/18 0:00,1/22/18 21:00,S18
94,scavhunt,1/18/18 21:00,1/26/18 21:00,S18
95,pixels,1/25/18 21:00,2/2/18 21:00,S18
96,images,2/1/18 21:00,2/9/18 21:00,S18
97,doslingos,2/8/18 21:00,2/16/18 21:00,S18
98,clac-exp,2/22/18 21:00,3/2/18 21:00,S18
99,tbuf,3/1/18 21:00,3/9/18 21:00,S18
100,bloom,3/8/18 21:00,3/23/18 21:00,S18
101,ropes,3/22/18 21:00,3/30/18 21:00,S18
102,queues,4/2/18 21:00,4/10/18 21:00,S18
103,lightsout,4/9/18 21:00,4/17/18 21:00,S18
104,c0vm,4/17/18 21:00,5/4/18 21:00,S18
105,written2,1/22/18 21:00,1/29/18 21:00,S18
106,written3,1/29/18 21:00,2/5/18 21:00,S18
107,written4,2/5/18 21:00,2/12/18 21:00,S18
108,written5,2/12/18 21:00,2/19/18 21:00,S18
109,written6,2/19/18 21:00,2/26/18 21:00,S18
110,written7,2/26/18 21:00,3/5/18 21:00,S18
111,written8,3/12/18 21:00,3/19/18 21:00,S18
112,written9,3/19/18 21:00,3/26/18 21:00,S18
113,written10,3/26/18 21:00,4/2/18 21:00,S18
114,written11,4/5/18 21:00,4/12/18 21:00,S18
115,written12,4/12/18 21:00,4/23/18 21:00,S18
116,written13,4/23/18 21:00,4/30/18 21:00,S18
117,midterm1,2/15/18 0:00,2/22/18 0:00,S18
118,midterm2,3/29/18 0:00,4/5/18 0:00,S18
119,images style,2/12/18 17:00,2/18/18 17:00,S18
120,exp style,3/5/18 0:00,3/19/18 23:59,S18